refVideo,captureVideo,startFrame,endFrame,avgSSIM
Video010.mp4,Video010M3001.ts,8350,9099,0.875382
Video010.mp4,Video010M3001.ts,9100,9849,0.89004
Video010.mp4,Video010M3001.ts,9850,10599,0.843951
Video010.mp4,Video010M3001.ts,10600,11349,0.901815
Video010.mp4,Video010M3001.ts,11350,12099,0.803431
Video010.mp4,Video010M3001.ts,12100,12849,0.808025
Video010.mp4,Video010M3001.ts,12850,13599,0.829092
Video010.mp4,Video010M3001.ts,13600,14349,0.881091
Video010.mp4,Video010M3001.ts,14350,15099,0.875787
Video010.mp4,Video010M3001.ts,15100,15849,0.873255
Video010.mp4,Video010M3001.ts,15850,16599,0.867335
Video010.mp4,Video010M3001.ts,16600,17349,0.86064
Video010.mp4,Video010M3001.ts,17350,18099,0.841151
Video010.mp4,Video010M3001.ts,18100,18849,0.841152
Video010.mp4,Video010M3001.ts,18850,19599,0.86884
Video010.mp4,Video010M3001.ts,19600,20349,0.896351
Video001.mp4,Video001M4001.ts,150,899,0.885212
Video001.mp4,Video001M4001.ts,900,1649,0.941301
Video001.mp4,Video001M4001.ts,1650,2399,0.940369
Video001.mp4,Video001M4001.ts,2400,3149,0.910014
Video001.mp4,Video001M4001.ts,3150,3899,0.964053
Video001.mp4,Video001M4001.ts,3900,4649,0.968277
Video001.mp4,Video001M4001.ts,4650,5399,0.918258
Video001.mp4,Video001M4001.ts,5400,6149,0.943658
Video001.mp4,Video001M4001.ts,6150,6899,0.945687
Video001.mp4,Video001M4001.ts,6900,7649,0.841453
Video001.mp4,Video001M4001.ts,7650,8399,0.914659
Video002.mp4,Video002M4001.ts,150,899,0.870044
Video002.mp4,Video002M4001.ts,900,1649,0.925129
Video002.mp4,Video002M4001.ts,1650,2399,0.926055
Video002.mp4,Video002M4001.ts,2400,3149,0.925073
Video002.mp4,Video002M4001.ts,3150,3899,0.906206
Video002.mp4,Video002M4001.ts,3900,4649,0.905801
Video002.mp4,Video002M4001.ts,4650,5399,0.924324
Video002.mp4,Video002M4001.ts,5400,6149,0.936585
Video003.mp4,Video003M4001.ts,150,899,0.861245
Video003.mp4,Video003M4001.ts,900,1649,0.851771
Video003.mp4,Video003M4001.ts,1650,2399,0.912408
Video003.mp4,Video003M4001.ts,2400,3149,0.866061
Video003.mp4,Video003M4001.ts,3150,3899,0.878448
Video003.mp4,Video003M4001.ts,3900,4649,0.865192
Video003.mp4,Video003M4001.ts,4650,5399,0.841242
Video003.mp4,Video003M4001.ts,5400,6149,0.882437
Video003.mp4,Video003M4001.ts,6150,6899,0.883068
Video004.mp4,Video004M4001.ts,150,899,0.882344
Video004.mp4,Video004M4001.ts,900,1649,0.902035
Video004.mp4,Video004M4001.ts,1650,2399,0.896211
Video004.mp4,Video004M4001.ts,2400,3149,0.881996
Video004.mp4,Video004M4001.ts,3150,3899,0.885291
Video004.mp4,Video004M4001.ts,3900,4649,0.968351
Video004.mp4,Video004M4001.ts,4650,5399,0.986816
Video004.mp4,Video004M4001.ts,5400,6149,0.970218
Video004.mp4,Video004M4001.ts,6150,6899,0.932915
Video004.mp4,Video004M4001.ts,6900,7649,0.892385
Video004.mp4,Video004M4001.ts,7650,8399,0.858653
Video004.mp4,Video004M4001.ts,8400,9149,0.861961
Video004.mp4,Video004M4001.ts,9150,9899,0.939677
Video004.mp4,Video004M4001.ts,9900,10649,0.940113
Video004.mp4,Video004M4001.ts,10650,11399,0.945813
Video004.mp4,Video004M4001.ts,11400,12149,0.914021
Video005.mp4,Video005M4001.ts,150,899,0.858032
Video005.mp4,Video005M4001.ts,900,1649,0.847503
Video005.mp4,Video005M4001.ts,1650,2399,0.821223
Video005.mp4,Video005M4001.ts,2400,3149,0.868381
Video005.mp4,Video005M4001.ts,3150,3899,0.84135
Video005.mp4,Video005M4001.ts,3900,4649,0.832976
Video005.mp4,Video005M4001.ts,4650,5399,0.846715
Video005.mp4,Video005M4001.ts,5400,6149,0.834994
Video005.mp4,Video005M4001.ts,6150,6899,0.91686
Video005.mp4,Video005M4001.ts,6900,7649,0.88911
Video005.mp4,Video005M4001.ts,7650,8399,0.868746
Video005.mp4,Video005M4001.ts,8400,9149,0.861863
Video005.mp4,Video005M4001.ts,9150,9899,0.832439
Video005.mp4,Video005M4001.ts,9900,10649,0.880307
Video005.mp4,Video005M4001.ts,10650,11399,0.86456
Video005.mp4,Video005M4001.ts,11400,12149,0.889856
Video006.mp4,Video006M4001.ts,150,899,0.86449
Video006.mp4,Video006M4001.ts,900,1649,0.883825
Video006.mp4,Video006M4001.ts,1650,2399,0.842546
Video006.mp4,Video006M4001.ts,2400,3149,0.901067
Video006.mp4,Video006M4001.ts,3150,3899,0.855059
Video006.mp4,Video006M4001.ts,3900,4649,0.923884
Video006.mp4,Video006M4001.ts,4650,5399,0.945871
Video006.mp4,Video006M4001.ts,5400,6149,0.918
Video006.mp4,Video006M4001.ts,6150,6899,0.895272
Video007.mp4,Video007M4001.ts,100,849,0.880591
Video007.mp4,Video007M4001.ts,850,1599,0.965118
Video007.mp4,Video007M4001.ts,1600,2349,0.940584
Video007.mp4,Video007M4001.ts,2350,3099,0.919687
Video007.mp4,Video007M4001.ts,3100,3849,0.859126
Video007.mp4,Video007M4001.ts,3850,4599,0.92524
Video007.mp4,Video007M4001.ts,4600,5349,0.935482
Video007.mp4,Video007M4001.ts,5350,6099,0.868458
Video007.mp4,Video007M4001.ts,6100,6849,0.874045
Video007.mp4,Video007M4001.ts,6850,7599,0.918174
Video007.mp4,Video007M4001.ts,7600,8349,0.887097
Video008.mp4,Video008M4001.ts,150,899,0.876871
Video008.mp4,Video008M4001.ts,900,1649,0.914438
Video008.mp4,Video008M4001.ts,1650,2399,0.934917
Video008.mp4,Video008M4001.ts,2400,3149,0.925365
Video008.mp4,Video008M4001.ts,3150,3899,0.899023
Video008.mp4,Video008M4001.ts,3900,4649,0.873963
Video008.mp4,Video008M4001.ts,4650,5399,0.900509
Video008.mp4,Video008M4001.ts,5400,6149,0.959456
Video009.mp4,Video009M4001.ts,150,899,0.866413
Video009.mp4,Video009M4001.ts,900,1649,0.850394
Video009.mp4,Video009M4001.ts,1650,2399,0.924912
Video009.mp4,Video009M4001.ts,2400,3149,0.908866
Video009.mp4,Video009M4001.ts,3150,3899,0.903025
Video009.mp4,Video009M4001.ts,3900,4649,0.915335
Video009.mp4,Video009M4001.ts,4650,5399,0.91899
Video009.mp4,Video009M4001.ts,5400,6149,0.916327
Video009.mp4,Video009M4001.ts,6150,6899,0.902796
Video010.mp4,Video010M4001.ts,100,849,0.923296
Video010.mp4,Video010M4001.ts,850,1599,0.906176
Video010.mp4,Video010M4001.ts,1600,2349,0.942487
Video010.mp4,Video010M4001.ts,2350,3099,0.911363
Video010.mp4,Video010M4001.ts,3100,3849,0.910359
Video010.mp4,Video010M4001.ts,3850,4599,0.91212
Video010.mp4,Video010M4001.ts,4600,5349,0.919517
Video010.mp4,Video010M4001.ts,5350,6099,0.849325
Video010.mp4,Video010M4001.ts,6100,6849,0.818833
Video010.mp4,Video010M4001.ts,6850,7599,0.916523
Video010.mp4,Video010M4001.ts,7600,8349,0.865993
Video010.mp4,Video010M4001.ts,8350,9099,0.878376
Video010.mp4,Video010M4001.ts,9100,9849,0.887778
Video010.mp4,Video010M4001.ts,9850,10599,0.842792
Video010.mp4,Video010M4001.ts,10600,11349,0.909403
Video010.mp4,Video010M4001.ts,11350,12099,0.806079
Video010.mp4,Video010M4001.ts,12100,12849,0.811915
Video010.mp4,Video010M4001.ts,12850,13599,0.821953
Video010.mp4,Video010M4001.ts,13600,14349,0.890776
Video010.mp4,Video010M4001.ts,14350,15099,0.859013
Video010.mp4,Video010M4001.ts,15100,15849,0.881962
Video010.mp4,Video010M4001.ts,15850,16599,0.857258
